更新时间,#genre#
20240622-09-29-37,url


央视频道,#genre#
CCTV3,http://27.11.54.11:8001/udp/225.0.4.142:7980
CCTV3,http://01e117.netsite.cc/proxy/781829366/781829366.m3u8
CCTV3,http://171.118.223.183:9999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://110.178.52.111:8084/udp/239.1.1.9:8009
CCTV3,http://110.178.52.111:8083/udp/239.1.1.9:8009
CCTV3,http://183.184.204.165:8083/rtp/226.0.2.208:9576
CCTV3,http://110.184.114.89:4022/udp/239.93.1.11:2223
CCTV3,http://120.84.121.199:808/hls/106/index.m3u8
CCTV3,http://125.122.11.106:9999/udp/233.50.201.196:5140
CCTV3,http://120.84.121.199:808/hls/5/index.m3u8
CCTV3,http://116.31.166.176:1688/udp/239.77.0.175:5146
CCTV3,http://60.220.167.244:8085/rtp/226.0.2.208:9576
CCTV3,http://171.108.239.77:8181/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://36.40.237.57:9999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://171.108.239.74:8181/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://27.11.54.11:8002/udp/225.0.4.142:7980
CCTV3,http://113.206.114.34:8003/udp/225.0.4.142:7980
CCTV3,http://116.31.166.176:1688/udp/239.77.0.169:5146
CCTV3,http://59.48.75.130:3052/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://116.135.5.219:8082/rtp/226.0.2.208:9576
CCTV3,http://120.84.121.113:808/hls/106/index.m3u8
CCTV3,http://110.178.52.111:8082/udp/239.1.1.9:8009
CCTV3,http://211.158.152.48:8008/udp/225.0.4.142:7980
CCTV3,http://183.0.186.131:9900/tsfile/live/0003_1.m3u8
